t,xe,ye,vxe,vye,xm,ym,vxm,vym
783700.000000,6589772.357858,-6434173.161462,10.338289,2.185037,-179778058.270830,344755567.926265,-885.950033,-451.113733
783800.000000,6590806.117499,-6433954.527262,10.336904,2.187647,-179866647.335677,344710445.364840,-885.831255,-451.337490
783900.000000,6591839.738565,-6433735.632013,10.335518,2.190258,-179955224.519962,344665300.429381,-885.712422,-451.561214
784000.000000,6592873.220991,-6433516.475754,10.334131,2.192868,-180043789.818155,344620133.123112,-885.593533,-451.784906
784100.000000,6593906.564714,-6433297.058521,10.332744,2.195477,-180132343.224721,344574943.449259,-885.474589,-452.008566
784200.000000,6594939.769668,-6433077.380353,10.331356,2.198086,-180220884.734131,344529731.411046,-885.355590,-452.232193
784300.000000,6595972.835790,-6432857.441287,10.329967,2.200695,-180309414.340855,344484497.011701,-885.236535,-452.455788
784400.000000,6597005.763014,-6432637.241360,10.328578,2.203303,-180397932.039362,344439240.254454,-885.117426,-452.679351
784500.000000,6598038.551276,-6432416.780611,10.327188,2.205912,-180486437.824125,344393961.142534,-884.998261,-452.902882
784600.000000,6599071.200512,-6432196.059077,10.325797,2.208519,-180574931.689617,344348659.679173,-884.879040,-453.126380
784700.000000,6600103.710657,-6431975.076796,10.324406,2.211126,-180663413.630311,344303335.867603,-884.759765,-453.349846
784800.000000,6601136.081647,-6431753.833805,10.323014,2.213733,-180751883.640681,344257989.711057,-884.640434,-453.573280
784900.000000,6602168.313416,-6431532.330142,10.321621,2.216340,-180840341.715203,344212621.212772,-884.521048,-453.796681
785000.000000,6603200.405902,-6431310.565846,10.320228,2.218946,-180928787.848353,344167230.375984,-884.401606,-454.020050
785100.000000,6604232.359039,-6431088.540953,10.318834,2.221552,-181017222.034608,344121817.203931,-884.282110,-454.243386
785200.000000,6605264.172763,-6430866.255502,10.317440,2.224157,-181105644.268447,344076381.699851,-884.162558,-454.466690
785300.000000,6606295.847009,-6430643.709530,10.316045,2.226762,-181194054.544348,344030923.866986,-884.042951,-454.689962
785400.000000,6607327.381713,-6430420.903075,10.314649,2.229367,-181282452.856791,343985443.708576,-883.923289,-454.913201
785500.000000,6608358.776811,-6430197.836175,10.313253,2.231971,-181370839.200258,343939941.227866,-883.803571,-455.136408
785600.000000,6609390.032239,-6429974.508868,10.311856,2.234575,-181459213.569229,343894416.428099,-883.683799,-455.359582
785700.000000,6610421.147931,-6429750.921192,10.310458,2.237179,-181547575.958188,343848869.312521,-883.563971,-455.582724
785800.000000,6611452.123824,-6429527.073184,10.309060,2.239782,-181635926.361618,343803299.884379,-883.444088,-455.805833
785900.000000,6612482.959853,-6429302.964883,10.307661,2.242384,-181724264.774004,343757708.146921,-883.324150,-456.028910
786000.000000,6613513.655953,-6429078.596326,10.306261,2.244987,-181812591.189831,343712094.103396,-883.204157,-456.251955
786100.000000,6614544.212062,-6428853.967551,10.304861,2.247589,-181900905.603585,343666457.757057,-883.084109,-456.474967
786200.000000,6615574.628113,-6428629.078597,10.303460,2.250190,-181989208.009753,343620799.111154,-882.964005,-456.697946
786300.000000,6616604.904044,-6428403.929500,10.302059,2.252792,-182077498.402825,343575118.168941,-882.843847,-456.920893
786400.000000,6617635.039789,-6428178.520300,10.300656,2.255392,-182165776.777288,343529414.933673,-882.723633,-457.143807
786500.000000,6618665.035284,-6427952.851034,10.299254,2.257993,-182254043.127633,343483689.408606,-882.603365,-457.366689
786600.000000,6619694.890465,-6427726.921740,10.297850,2.260593,-182342297.448350,343437941.596997,-882.483041,-457.589538
786700.000000,6620724.605268,-6427500.732456,10.296446,2.263193,-182430539.733933,343392171.502105,-882.362662,-457.812355
786800.000000,6621754.179629,-6427274.283220,10.295041,2.265792,-182518769.978872,343346379.127190,-882.242228,-458.035138
786900.000000,6622783.613483,-6427047.574070,10.293636,2.268391,-182606988.177662,343300564.475513,-882.121739,-458.257890
787000.000000,6623812.906766,-6426820.605045,10.292230,2.270990,-182695194.324798,343254727.550336,-882.001195,-458.480608
787100.000000,6624842.059413,-6426593.376182,10.290823,2.273588,-182783388.414774,343208868.354924,-881.880596,-458.703294
787200.000000,6625871.071362,-6426365.887519,10.289416,2.276186,-182871570.442088,343162986.892542,-881.759942,-458.925948
787300.000000,6626899.942546,-6426138.139094,10.288008,2.278783,-182959740.401236,343117083.166455,-881.639232,-459.148569
787400.000000,6627928.672903,-6425910.130946,10.286599,2.281380,-183047898.286717,343071157.179932,-881.518468,-459.371157
787500.000000,6628957.262368,-6425681.863113,10.285190,2.283977,-183136044.093030,343025208.936241,-881.397649,-459.593712
787600.000000,6629985.710877,-6425453.335633,10.283780,2.286573,-183224177.814676,342979238.438653,-881.276775,-459.816235
787700.000000,6631014.018365,-6425224.548544,10.282370,2.289169,-183312299.446154,342933245.690440,-881.155846,-460.038724
787800.000000,6632042.184769,-6424995.501884,10.280958,2.291764,-183400408.981967,342887230.694874,-881.034862,-460.261182
787900.000000,6633070.210024,-6424766.195691,10.279547,2.294359,-183488506.416618,342841193.455230,-880.913822,-460.483606
788000.000000,6634098.094067,-6424536.630004,10.278134,2.296954,-183576591.744610,342795133.974782,-880.792728,-460.705998
788100.000000,6635125.836832,-6424306.804861,10.276721,2.299549,-183664664.960449,342749052.256809,-880.671579,-460.928356
788200.000000,6636153.438257,-6424076.720300,10.275307,2.302143,-183752726.058639,342702948.304587,-880.550375,-461.150683
788300.000000,6637180.898276,-6423846.376359,10.273893,2.304736,-183840775.033687,342656822.121397,-880.429116,-461.372976
788400.000000,6638208.216827,-6423615.773076,10.272478,2.307329,-183928811.880102,342610673.710518,-880.307803,-461.595236
788500.000000,6639235.393844,-6423384.910491,10.271062,2.309922,-184016836.592390,342564503.075234,-880.186434,-461.817464
788600.000000,6640262.429264,-6423153.788641,10.269646,2.312515,-184104849.165061,342518310.218826,-880.065010,-462.039659
788700.000000,6641289.323023,-6422922.407564,10.268229,2.315107,-184192849.592626,342472095.144580,-879.943532,-462.261821
788800.000000,6642316.075056,-6422690.767299,10.266812,2.317698,-184280837.869596,342425857.855781,-879.821998,-462.483950
788900.000000,6643342.685300,-6422458.867884,10.265393,2.320290,-184368813.990482,342379598.355717,-879.700410,-462.706046
789000.000000,6644369.153690,-6422226.709357,10.263974,2.322881,-184456777.949798,342333316.647676,-879.578767,-462.928109
789100.000000,6645395.480163,-6421994.291758,10.262555,2.325471,-184544729.742057,342287012.734947,-879.457069,-463.150140
789200.000000,6646421.664655,-6421761.615124,10.261135,2.328061,-184632669.361774,342240686.620822,-879.335316,-463.372137
789300.000000,6647447.707101,-6421528.679493,10.259714,2.330651,-184720596.803466,342194338.308592,-879.213509,-463.594102
789400.000000,6648473.607437,-6421295.484904,10.258293,2.333241,-184808512.061648,342147967.801552,-879.091646,-463.816034
789500.000000,6649499.365600,-6421062.031396,10.256871,2.335830,-184896415.130838,342101575.102997,-878.969729,-464.037932
789600.000000,6650524.981526,-6420828.319007,10.255448,2.338418,-184984306.005555,342055160.216221,-878.847757,-464.259798
789700.000000,6651550.455151,-6420594.347775,10.254025,2.341006,-185072184.680318,342008723.144524,-878.725730,-464.481631
789800.000000,6652575.786411,-6420360.117739,10.252601,2.343594,-185160051.149647,341962263.891203,-878.603648,-464.703430
789900.000000,6653600.975241,-6420125.628938,10.251176,2.346182,-185247905.408064,341915782.459559,-878.481511,-464.925197
790000.000000,6654626.021578,-6419890.881409,10.249751,2.348769,-185335747.450091,341869278.852892,-878.359320,-465.146931
790100.000000,6655650.925358,-6419655.875192,10.248325,2.351356,-185423577.270251,341822753.074506,-878.237074,-465.368631
790200.000000,6656675.686518,-6419420.610325,10.246898,2.353942,-185511394.863068,341776205.127704,-878.114773,-465.590299
790300.000000,6657700.304993,-6419185.086846,10.245471,2.356528,-185599200.223067,341729635.015792,-877.992418,-465.811934
790400.000000,6658724.780719,-6418949.304795,10.244043,2.359113,-185686993.344774,341683042.742076,-877.870007,-466.033535
790500.000000,6659749.113632,-6418713.264209,10.242615,2.361698,-185774774.222715,341636428.309864,-877.747542,-466.255104
790600.000000,6660773.303670,-6418476.965127,10.241186,2.364283,-185862542.851419,341589791.722464,-877.625023,-466.476639
790700.000000,6661797.350767,-6418240.407588,10.239756,2.366868,-185950299.225414,341543132.983187,-877.502448,-466.698141
790800.000000,6662821.254860,-6418003.591631,10.238326,2.369452,-186038043.339230,341496452.095345,-877.379819,-466.919610
790900.000000,6663845.015886,-6417766.517293,10.236895,2.372035,-186125775.187398,341449749.062250,-877.257135,-467.141046
791000.000000,6664868.633780,-6417529.184615,10.235463,2.374618,-186213494.764447,341403023.887218,-877.134397,-467.362449
791100.000000,6665892.108478,-6417291.593634,10.234031,2.377201,-186301202.064912,341356276.573562,-877.011604,-467.583819
791200.000000,6666915.439918,-6417053.744389,10.232598,2.379784,-186388897.083326,341309507.124600,-876.888756,-467.805155
791300.000000,6667938.628034,-6416815.636919,10.231164,2.382366,-186476579.814222,341262715.543650,-876.765853,-468.026458
791400.000000,6668961.672764,-6416577.271262,10.229730,2.384947,-186564250.252136,341215901.834031,-876.642896,-468.247729
791500.000000,6669984.574043,-6416338.647458,10.228295,2.387529,-186651908.391604,341169065.999065,-876.519884,-468.468965
791600.000000,6671007.331809,-6416099.765545,10.226860,2.390110,-186739554.227162,341122208.042071,-876.396818,-468.690169
791700.000000,6672029.945996,-6415860.625562,10.225424,2.392690,-186827187.753350,341075327.966375,-876.273697,-468.911339
791800.000000,6673052.416541,-6415621.227547,10.223987,2.395270,-186914808.964705,341028425.775300,-876.150521,-469.132477
791900.000000,6674074.743382,-6415381.571540,10.222550,2.397850,-187002417.855768,340981501.472172,-876.027291,-469.353581
792000.000000,6675096.926453,-6415141.657579,10.221112,2.400429,-187090014.421080,340934555.060318,-875.904006,-469.574651
792100.000000,6676118.965691,-6414901.485703,10.219673,2.403008,-187177598.655181,340887586.543067,-875.780667,-469.795688
792200.000000,6677140.861033,-6414661.055951,10.218234,2.405587,-187265170.552615,340840595.923748,-875.657273,-470.016692
792300.000000,6678162.612415,-6414420.368361,10.216794,2.408165,-187352730.107925,340793583.205691,-875.533824,-470.237663
792400.000000,6679184.219774,-6414179.422973,10.215353,2.410743,-187440277.315656,340746548.392229,-875.410321,-470.458601
792500.000000,6680205.683045,-6413938.219826,10.213912,2.413320,-187527812.170353,340699491.486696,-875.286764,-470.679505
792600.000000,6681227.002165,-6413696.758958,10.212470,2.415897,-187615334.666562,340652412.492426,-875.163152,-470.900375
792700.000000,6682248.177070,-6413455.040408,10.211028,2.418474,-187702844.798831,340605311.412755,-875.039485,-471.121213
792800.000000,6683269.207697,-6413213.064215,10.209585,2.421050,-187790342.561707,340558188.251020,-874.915764,-471.342017
792900.000000,6684290.093982,-6412970.830419,10.208141,2.423626,-187877827.949741,340511043.010560,-874.791988,-471.562787
793000.000000,6685310.835862,-6412728.339057,10.206697,2.426201,-187965300.957482,340463875.694715,-874.668158,-471.783524
793100.000000,6686331.433273,-6412485.590170,10.205252,2.428776,-188052761.579480,340416686.306826,-874.544273,-472.004228
793200.000000,6687351.886152,-6412242.583796,10.203806,2.431351,-188140209.810289,340369474.850235,-874.420334,-472.224898
793300.000000,6688372.194434,-6411999.319973,10.202360,2.433925,-188227645.644460,340322241.328286,-874.296340,-472.445535
793400.000000,6689392.358056,-6411755.798742,10.200913,2.436499,-188315069.076548,340274985.744324,-874.172292,-472.666139
793500.000000,6690412.376956,-6411512.020141,10.199465,2.439073,-188402480.101107,340227708.101695,-874.048190,-472.886709
793600.000000,6691432.251069,-6411267.984209,10.198017,2.441646,-188489878.712693,340180408.403747,-873.924033,-473.107245
