x	sin(x)	Ff	Fc	cos(x)-Ff	cos(x)-Fc
2.470000e+000	6.222336e-001	-1.174278e-007	-1.111266e-007	-7.828315e-001	-7.828315e-001
2.480000e+000	6.143743e-001	-1.182260e-007	-1.120043e-007	-7.890146e-001	-7.890146e-001
2.490000e+000	6.064535e-001	-1.190123e-007	-1.128708e-007	-7.951188e-001	-7.951188e-001
2.500000e+000	5.984721e-001	-1.197867e-007	-1.137260e-007	-8.011435e-001	-8.011435e-001
2.510000e+000	5.904309e-001	-1.205491e-007	-1.145699e-007	-8.070881e-001	-8.070881e-001
2.520000e+000	5.823306e-001	-1.212995e-007	-1.154023e-007	-8.129519e-001	-8.129519e-001
2.530000e+000	5.741721e-001	-1.220377e-007	-1.162232e-007	-8.187345e-001	-8.187345e-001
2.540000e+000	5.659562e-001	-1.227638e-007	-1.170324e-007	-8.244352e-001	-8.244352e-001
2.550000e+000	5.576837e-001	-1.234775e-007	-1.178299e-007	-8.300534e-001	-8.300534e-001
2.560000e+000	5.493554e-001	-1.241789e-007	-1.186157e-007	-8.355887e-001	-8.355887e-001
2.570000e+000	5.409722e-001	-1.248679e-007	-1.193896e-007	-8.410403e-001	-8.410403e-001
2.580000e+000	5.325349e-001	-1.255444e-007	-1.201515e-007	-8.464079e-001	-8.464079e-001
2.590000e+000	5.240443e-001	-1.262084e-007	-1.209015e-007	-8.516909e-001	-8.516909e-001
2.600000e+000	5.155014e-001	-1.268597e-007	-1.216393e-007	-8.568886e-001	-8.568886e-001
2.610000e+000	5.069069e-001	-1.274984e-007	-1.223650e-007	-8.620007e-001	-8.620007e-001
2.620000e+000	4.982616e-001	-1.281243e-007	-1.230785e-007	-8.670266e-001	-8.670266e-001
2.630000e+000	4.895666e-001	-1.287374e-007	-1.237796e-007	-8.719658e-001	-8.719658e-001
2.640000e+000	4.808226e-001	-1.293376e-007	-1.244684e-007	-8.768178e-001	-8.768178e-001
2.650000e+000	4.720305e-001	-1.299249e-007	-1.251447e-007	-8.815821e-001	-8.815821e-001
2.660000e+000	4.631913e-001	-1.304991e-007	-1.258085e-007	-8.862582e-001	-8.862582e-001
2.670000e+000	4.543057e-001	-1.310604e-007	-1.264597e-007	-8.908457e-001	-8.908457e-001
2.680000e+000	4.453746e-001	-1.316085e-007	-1.270983e-007	-8.953442e-001	-8.953442e-001
2.690000e+000	4.363991e-001	-1.321435e-007	-1.277241e-007	-8.997531e-001	-8.997531e-001
2.700000e+000	4.273799e-001	-1.326652e-007	-1.283372e-007	-9.040720e-001	-9.040720e-001
2.710000e+000	4.183179e-001	-1.331737e-007	-1.289375e-007	-9.083005e-001	-9.083005e-001
2.720000e+000	4.092142e-001	-1.336689e-007	-1.295248e-007	-9.124382e-001	-9.124382e-001
2.730000e+000	4.000695e-001	-1.341507e-007	-1.300993e-007	-9.164847e-001	-9.164847e-001
2.740000e+000	3.908848e-001	-1.346191e-007	-1.306607e-007	-9.204395e-001	-9.204395e-001
2.750000e+000	3.816610e-001	-1.350740e-007	-1.312090e-007	-9.243022e-001	-9.243022e-001
2.760000e+000	3.723990e-001	-1.355154e-007	-1.317442e-007	-9.280726e-001	-9.280726e-001
