x	sin(x)	Ff	Fc	cos(x)-Ff	cos(x)-Fc
2.140000e+000	8.423304e-001	-5.389615e-001	-5.389614e-001	4.048257e-008	-1.150790e-009
2.150000e+000	8.368988e-001	-5.473577e-001	-5.473577e-001	4.034654e-008	-1.286821e-009
2.160000e+000	8.313835e-001	-5.556992e-001	-5.556991e-001	4.041559e-008	-6.626597e-010
2.170000e+000	8.257850e-001	-5.639851e-001	-5.639851e-001	4.105336e-008	-5.800059e-010
2.180000e+000	8.201039e-001	-5.722146e-001	-5.722146e-001	3.928702e-008	-1.236121e-009
2.190000e+000	8.143409e-001	-5.803869e-001	-5.803869e-001	3.982668e-008	-1.251572e-009
2.200000e+000	8.084964e-001	-5.885012e-001	-5.885011e-001	3.943994e-008	-5.280853e-010
2.210000e+000	8.025711e-001	-5.965566e-001	-5.965565e-001	3.908265e-008	-8.853785e-010
2.220000e+000	7.965655e-001	-6.045523e-001	-6.045523e-001	3.826662e-008	-1.146298e-009
2.230000e+000	7.904802e-001	-6.124876e-001	-6.124876e-001	3.941999e-008	-5.480400e-010
2.240000e+000	7.843159e-001	-6.203617e-001	-6.203616e-001	3.892547e-008	-1.042555e-009
2.250000e+000	7.780732e-001	-6.281737e-001	-6.281736e-001	3.814325e-008	-7.145592e-010
2.260000e+000	7.717527e-001	-6.359229e-001	-6.359228e-001	3.667086e-008	-1.076723e-009
2.270000e+000	7.653550e-001	-6.436085e-001	-6.436084e-001	3.670602e-008	-1.041567e-009
2.280000e+000	7.588807e-001	-6.512297e-001	-6.512297e-001	3.630774e-008	-8.847264e-010
2.290000e+000	7.523306e-001	-6.587858e-001	-6.587858e-001	3.598088e-008	-1.211590e-009
2.300000e+000	7.457052e-001	-6.662761e-001	-6.662760e-001	3.637941e-008	-1.368171e-009
2.310000e+000	7.390053e-001	-6.736997e-001	-6.736996e-001	3.601046e-008	-1.182007e-009
2.320000e+000	7.322314e-001	-6.810559e-001	-6.810559e-001	3.560031e-008	-1.037055e-009
2.330000e+000	7.253844e-001	-6.883441e-001	-6.883440e-001	3.579965e-008	-8.377076e-010
2.340000e+000	7.184648e-001	-6.955634e-001	-6.955633e-001	3.488967e-008	-1.192577e-009
2.350000e+000	7.114734e-001	-7.027131e-001	-7.027131e-001	3.537043e-008	-7.118156e-010
2.360000e+000	7.044108e-001	-7.097926e-001	-7.097926e-001	3.389671e-008	-1.075313e-009
2.370000e+000	6.972777e-001	-7.168011e-001	-7.168011e-001	3.452917e-008	-9.979642e-010
2.380000e+000	6.900750e-001	-7.237379e-001	-7.237379e-001	3.423067e-008	-7.413582e-010
2.390000e+000	6.828032e-001	-7.306024e-001	-7.306023e-001	3.278817e-008	-1.628747e-009
2.400000e+000	6.754632e-001	-7.373937e-001	-7.373937e-001	3.274339e-008	-1.118411e-009
2.410000e+000	6.680556e-001	-7.441114e-001	-7.441114e-001	3.155260e-008	-1.198975e-009
2.420000e+000	6.605812e-001	-7.507546e-001	-7.507546e-001	3.151071e-008	-1.240870e-009
2.430000e+000	6.530408e-001	-7.573228e-001	-7.573228e-001	3.080229e-008	-1.394179e-009
2.440000e+000	6.454350e-001	-7.638152e-001	-7.638152e-001	3.009651e-008	-1.544844e-009
2.450000e+000	6.377647e-001	-7.702313e-001	-7.702313e-001	3.026101e-008	-1.380349e-009
2.460000e+000	6.300306e-001	-7.765703e-001	-7.765703e-001	3.007649e-008	-1.564863e-009
2.470000e+000	6.222336e-001	-7.828317e-001	-7.828317e-001	2.950329e-008	-1.582955e-009
2.480000e+000	6.143743e-001	-7.890148e-001	-7.890147e-001	2.961793e-008	-1.468318e-009
2.490000e+000	6.064535e-001	-7.951190e-001	-7.951189e-001	2.921986e-008	-1.311272e-009
2.500000e+000	5.984721e-001	-8.011436e-001	-8.011436e-001	2.921055e-008	-1.320587e-009
2.510000e+000	5.904309e-001	-8.070882e-001	-8.070882e-001	2.809149e-008	-1.329423e-009
2.520000e+000	5.823306e-001	-8.129521e-001	-8.129520e-001	2.856534e-008	-8.555655e-010
2.530000e+000	5.741721e-001	-8.187346e-001	-8.187346e-001	2.748448e-008	-1.381322e-009
2.540000e+000	5.659562e-001	-8.244353e-001	-8.244353e-001	2.689453e-008	-1.416156e-009
2.550000e+000	5.576837e-001	-8.300536e-001	-8.300535e-001	2.731529e-008	-9.954001e-010
2.560000e+000	5.493554e-001	-8.355888e-001	-8.355888e-001	2.657342e-008	-1.182154e-009
2.570000e+000	5.409722e-001	-8.410405e-001	-8.410405e-001	2.529744e-008	-1.347908e-009
2.580000e+000	5.325349e-001	-8.464081e-001	-8.464080e-001	2.464190e-008	-1.448337e-009
2.590000e+000	5.240443e-001	-8.516910e-001	-8.516910e-001	2.401242e-008	-1.522711e-009
2.600000e+000	5.155014e-001	-8.568888e-001	-8.568888e-001	2.434268e-008	-1.192453e-009
2.610000e+000	5.069069e-001	-8.620009e-001	-8.620008e-001	2.360071e-008	-1.379305e-009
2.620000e+000	4.982616e-001	-8.670267e-001	-8.670267e-001	2.339827e-008	-1.304190e-009
2.630000e+000	4.895666e-001	-8.719659e-001	-8.719659e-001	2.283346e-008	-1.591447e-009
2.640000e+000	4.808226e-001	-8.768179e-001	-8.768179e-001	2.232626e-008	-1.543530e-009
2.650000e+000	4.720305e-001	-8.815822e-001	-8.815822e-001	2.245895e-008	-1.410846e-009
2.660000e+000	4.631913e-001	-8.862584e-001	-8.862583e-001	2.170708e-008	-1.330049e-009
2.670000e+000	4.543057e-001	-8.908459e-001	-8.908459e-001	2.138789e-008	-1.371686e-009
2.680000e+000	4.453746e-001	-8.953443e-001	-8.953443e-001	2.117262e-008	-1.309398e-009
2.690000e+000	4.363991e-001	-8.997532e-001	-8.997532e-001	2.015088e-008	-1.498465e-009
2.700000e+000	4.273799e-001	-9.040722e-001	-9.040721e-001	1.956123e-008	-1.533008e-009
2.710000e+000	4.183179e-001	-9.083007e-001	-9.083007e-001	1.941638e-008	-1.400303e-009
2.720000e+000	4.092142e-001	-9.124384e-001	-9.124384e-001	1.901516e-008	-1.523968e-009
2.730000e+000	4.000695e-001	-9.164848e-001	-9.164848e-001	1.856555e-008	-1.418468e-009
2.740000e+000	3.908848e-001	-9.204396e-001	-9.204396e-001	1.803308e-008	-1.395827e-009
2.750000e+000	3.816610e-001	-9.243024e-001	-9.243024e-001	1.765548e-008	-1.495870e-009
2.760000e+000	3.723990e-001	-9.280727e-001	-9.280727e-001	1.679291e-008	-1.525769e-009
2.770000e+000	3.630998e-001	-9.317503e-001	-9.317502e-001	1.666490e-008	-1.376224e-009
