time	x	y	v_x	v_y
32900.000000	-17828071.847714	-1359611.927650	507.201687	-3326.788172
33000.000000	-17771104.696176	-1691774.956830	632.173987	-3316.075219
33100.000000	-17701629.807292	-2022747.063759	757.363604	-3302.964848
33200.000000	-17619623.298392	-2352286.941099	882.813565	-3287.424721
33300.000000	-17525056.981888	-2680149.735712	1008.566940	-3269.416223
33400.000000	-17417898.361550	-3006086.409726	1134.666829	-3248.894230
33500.000000	-17298110.630181	-3329843.075578	1261.156348	-3225.806822
33600.000000	-17165652.669609	-3651160.300552	1388.078596	-3200.094958
33700.000000	-17020479.054169	-3969772.375974	1515.476615	-3171.692092
33800.000000	-16862540.059045	-4285406.545850	1643.393334	-3140.523746
33900.000000	-16691781.675136	-4597782.189239	1771.871497	-3106.507012
34000.000000	-16508145.632475	-4906609.950125	1900.953559	-3069.549997
34100.000000	-16311569.434566	-5211590.807904	2030.681572	-3029.551191
34200.000000	-16101986.406545	-5512415.080911	2161.097023	-2986.398757
34300.000000	-15879325.760588	-5808761.354555	2292.240649	-2939.969733
34400.000000	-15643512.682703	-6100295.324686	2424.152193	-2890.129132
34500.000000	-15394468.445854	-6386668.545744	2556.870118	-2836.728934
34600.000000	-15132110.555348	-6667517.071967	2690.431250	-2779.606954
34700.000000	-14856352.933625	-6942459.978533	2824.870340	-2718.585572
34800.000000	-14567106.153052	-7211097.747857	2960.219542	-2653.470301
34900.000000	-14264277.727050	-7473010.504426	3096.507763	-2584.048185
35000.000000	-13947772.472089	-7727756.079397	3233.759892	-2510.085995
35100.000000	-13617492.955652	-7974867.883763	3371.995847	-2431.328199
35200.000000	-13273340.048529	-8213852.566148	3511.229434	-2347.494678
35300.000000	-12915213.603718	-8444187.428087	3651.466947	-2258.278153
35400.000000	-12543013.289087	-8665317.566139	3792.705484	-2163.341291
35500.000000	-12156639.606909	-8876652.706090	3934.930882	-2062.313432
35600.000000	-11755995.140844	-9077563.690008	4078.115216	-1954.786909
35700.000000	-11340986.080091	-9267378.571811	4222.213739	-1840.312891
35800.000000	-10911524.081931	-9445378.271442	4367.161148	-1718.396701
35900.000000	-10467528.548131	-9610791.731636	4512.867015	-1588.492540
36000.000000	-10008929.408590	-9762790.514755	4659.210172	-1449.997551
36100.000000	-9535670.528025	-9900482.770458	4806.031817	-1302.245161
36200.000000	-9047713.879698	-10022906.498346	4953.127011	-1144.497630
36300.000000	-8545044.665745	-10129022.023826	5100.234172	-975.937758
36400.000000	-8027677.608561	-10217703.601105	5247.022067	-795.659720
36500.000000	-7495664.694395	-10287730.056043	5393.073657	-602.659031
36600.000000	-6949104.722125	-10337774.385732	5537.865998	-395.821738
36700.000000	-6388155.100859	-10366392.244762	5680.745173	-173.913007
36800.000000	-5813046.454532	-10372009.275493	5820.894979	64.434504
36900.000000	-5224100.735575	-10352907.289545	5957.297765	320.731854
37000.000000	-4621753.729498	-10307209.392283	6088.685402	596.643526
37100.000000	-4006583.054287	-10232864.279903	6213.477968	893.993910
37200.000000	-3379343.028233	-10127630.156863	6329.707164	1214.767859
37300.000000	-2741008.098469	-9989059.060058	6434.921080	1561.101146
37400.000000	-2092826.882018	-9814482.892913	6526.066547	1935.254533
37500.000000	-1436389.244245	-9601003.249500	6599.345482	2339.562011
37600.000000	-773709.161920	-9345488.257285	6650.042582	2776.339435
37700.000000	-107326.258406	-9044581.331737	6672.324607	3247.733765
37800.000000	559571.389844	-8694729.084283	6659.017492	3755.485462
37900.000000	1223001.728293	-8292238.810728	6601.379260	4300.567678
38000.000000	1878021.768409	-7833380.049726	6488.907303	4882.657783
38100.000000	2518545.902690	-7314549.347060	6309.252233	5499.394408
38200.000000	3137165.763104	-6732521.551572	6048.360236	6145.386971
38300.000000	3725003.173844	-6084812.249966	5691.028888	6810.992797
38400.000000	4271649.334258	-5370169.653044	5222.119303	7480.984814
38500.000000	4765268.607333	-4589193.176700	4628.671120	8133.422335
38600.000000	5192964.589798	-3745032.163527	3903.026629	8739.294050
38700.000000	5541499.718948	-2844049.350941	3046.681969	9263.717267
38800.000000	5798400.614978	-1896255.182367	2073.934367	9669.405413
38900.000000	5953353.594356	-915274.859960	1013.742775	9922.463774
39000.000000	5999625.610646	82336.978535	-91.844084	9999.327170
39100.000000	5935124.816214	1078435.385400	-1193.267740	9892.447750
39200.000000	5762751.728897	2055023.089851	-2241.677770	9612.259989
39300.000000	5489915.290871	2995950.219495	-3196.891337	9184.483093
39400.000000	5127385.771261	3888156.837622	-4032.354682	8644.040287
39500.000000	4687853.289751	4722244.761333	-4736.069177	8028.168259
39600.000000	4184566.223719	5492418.123842	-5308.314275	7370.959591
39700.000000	3630286.752690	6195995.408963	-5757.871943	6700.297143
39800.000000	3036633.830013	6832728.815626	-6098.250180	6036.966585
39900.000000	2413767.071628	7404112.803660	-6344.718767	5395.190125
40000.000000	1770316.363023	7912784.544081	-6512.355809	4783.821037
40100.000000	1113461.558640	8362053.849418	-6614.961213	4207.673521
40200.000000	449087.992719	8755560.515856	-6664.584129	3668.712234
40300.000000	-218031.414362	9097038.933746	-6671.429053	3167.001433
40400.000000	-884056.060803	9390165.202202	-6643.966352	2701.409866
40500.000000	-1545913.928220	9638463.994770	-6589.134550	2270.108501
40600.000000	-2201159.777783	9845256.809713	-6512.568737	1870.908266
40700.000000	-2847855.966197	10013637.834401	-6418.820687	1501.481153
40800.000000	-3484474.159192	10146467.579966	-6311.555166	1159.499573
40900.000000	-4109815.250432	10246377.483440	-6193.717467	842.720035
41000.000000	-4722944.599646	10315780.899364	-6067.672593	549.029841
41100.000000	-5323139.887202	10356887.471748	-5935.318980	276.469777
41200.000000	-5909849.219844	10371718.955962	-5798.180434	23.241615
41300.000000	-6482657.496450	10362125.287529	-5657.479984	-212.293656
41400.000000	-7041259.396758	10329800.177567	-5514.199005	-431.623012
41500.000000	-7585437.666930	10276295.829998	-5369.124472	-636.091447
41600.000000	-8115045.637506	10203036.578344	-5222.886711	-826.913314
41700.000000	-8629993.124070	10111331.367316	-5075.989586	-1005.183966
41800.000000	-9130235.034364	10002385.082297	-4928.834674	-1171.891082
41900.000000	-9615762.144301	9877308.775204	-4781.740650	-1327.925374
42000.000000	-10086593.615563	9737128.859812	-4634.958880	-1474.090472
42100.000000	-10542770.914783	9582795.360881	-4488.685974	-1611.111958
42200.000000	-10984352.863358	9415189.304527	-4343.073934	-1739.645513
42300.000000	-11411411.601568	9235129.335380	-4198.238365	-1860.284238
42400.000000	-11824029.293835	9043377.641466	-4054.265144	-1973.565193
42500.000000	-12222295.436216	8840645.261610	-3911.215841	-2079.975218
42600.000000	-12606304.654353	8627596.843519	-3769.132143	-2179.956108
42700.000000	-12976154.901750	8404854.914003	-3628.039463	-2273.909207
42800.000000	-13331945.985451	8173003.716319	-3487.949904	-2362.199481
42900.000000	-13673778.359970	7932592.663612	-3348.864678	-2445.159132
43000.000000	-14001752.141398	7684139.451926	-3210.776105	-2523.090804
43100.000000	-14315966.302450	7428132.871264	-3073.669245	-2596.270421
43200.000000	-14616518.016406	7165035.348728	-2937.523252	-2664.949711
43300.000000	-14903502.123677	6895285.253815	-2802.312483	-2729.358451
43400.000000	-15177010.699401	6619298.992427	-2668.007414	-2789.706449
43500.000000	-15437132.704316	6337472.913106	-2534.575394	-2846.185321
43600.000000	-15683953.704249	6050185.046241	-2401.981270	-2898.970062
43700.000000	-15917555.646092	5757796.694662	-2270.187894	-2948.220449
43800.000000	-16138016.680240	5460653.891925	-2139.156547	-2994.082286
43900.000000	-16345411.021151	5159088.742777	-2008.847281	-3036.688521
