time	x	y	v_x	v_y
561240.000000	-2473975621.379886	3897759093.488644	-4366.043947	6902.973234	19076145.691742
561300.000000	-2474237583.998573	3898173271.854111	-4366.043343	6902.972282	19076140.416064
561360.000000	-2474499546.581028	3898587450.162491	-4366.042739	6902.971331	19076135.141508
561420.000000	-2474761509.127257	3899001628.413798	-4366.042135	6902.970380	19076129.868074
561480.000000	-2475023471.637268	3899415806.608044	-4366.041532	6902.969429	19076124.595761
561540.000000	-2475285434.111068	3899829984.745239	-4366.040928	6902.968478	19076119.324568
561600.000000	-2475547396.548667	3900244162.825398	-4366.040325	6902.967527	19076114.054497
561660.000000	-2475809358.950069	3900658340.848531	-4366.039722	6902.966577	19076108.785545
561720.000000	-2476071321.315285	3901072518.814651	-4366.039119	6902.965627	19076103.517713
561780.000000	-2476333283.644321	3901486696.723769	-4366.038516	6902.964677	19076098.251001
561840.000000	-2476595245.937186	3901900874.575899	-4366.037913	6902.963727	19076092.985408
561900.000000	-2476857208.193887	3902315052.371051	-4366.037310	6902.962778	19076087.720933
561960.000000	-2477119170.414431	3902729230.109239	-4366.036708	6902.961828	19076082.457577
562020.000000	-2477381132.598826	3903143407.790474	-4366.036105	6902.960879	19076077.195339
562080.000000	-2477643094.747080	3903557585.414768	-4366.035503	6902.959930	19076071.934219
562140.000000	-2477905056.859201	3903971762.982134	-4366.034901	6902.958982	19076066.674215
562200.000000	-2478167018.935195	3904385940.492583	-4366.034299	6902.958033	19076061.415329
562260.000000	-2478428980.975072	3904800117.946127	-4366.033697	6902.957085	19076056.157560
562320.000000	-2478690942.978838	3905214295.342779	-4366.033095	6902.956137	19076050.900906
562380.000000	-2478952904.946502	3905628472.682550	-4366.032494	6902.955189	19076045.645369
562440.000000	-2479214866.878070	3906042649.965453	-4366.031892	6902.954241	19076040.390947
562500.000000	-2479476828.773551	3906456827.191499	-4366.031291	6902.953294	19076035.137640
562560.000000	-2479738790.632952	3906871004.360701	-4366.030689	6902.952346	19076029.885449
562620.000000	-2480000752.456281	3907285181.473071	-4366.030088	6902.951399	19076024.634371
562680.000000	-2480262714.243545	3907699358.528620	-4366.029487	6902.950452	19076019.384408
562740.000000	-2480524675.994752	3908113535.527361	-4366.028886	6902.949506	19076014.135558
562800.000000	-2480786637.709911	3908527712.469307	-4366.028286	6902.948559	19076008.887822
562860.000000	-2481048599.389028	3908941889.354467	-4366.027685	6902.947613	19076003.641199
562920.000000	-2481310561.032110	3909356066.182856	-4366.027084	6902.946667	19075998.395689
562980.000000	-2481572522.639167	3909770242.954485	-4366.026484	6902.945721	19075993.151291
563040.000000	-2481834484.210205	3910184419.669365	-4366.025884	6902.944775	19075987.908005
563100.000000	-2482096445.745231	3910598596.327508	-4366.025284	6902.943830	19075982.665830
563160.000000	-2482358407.244255	3911012772.928928	-4366.024684	6902.942884	19075977.424767
563220.000000	-2482620368.707282	3911426949.473636	-4366.024084	6902.941939	19075972.184815
563280.000000	-2482882330.134321	3911841125.961643	-4366.023484	6902.940994	19075966.945974
